Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Excess Transfers Back,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Academic Spending (University-Wide),Total Football Spending,Total Football Coaching Salaries
Atlantic Coast Conference Median,,2021,,,"$101,544,443 ",$0 ,"$9,005,130 ","$2,286,733 ","$664,642 ","$291,600 ","$7,604,433 ","$18,373,094 ","$22,153,112 ","$18,674,911 ","$14,845,272 ","$1,409,983,305 ","$25,285,372 ","$8,771,423 "
Atlantic Coast Conference Median,,2022,,,"$130,146,947 ",$0 ,"$14,140,475 ","$1,729,808 ","$2,044,870 ","$2,034,964 ","$13,853,064 ","$21,821,610 ","$25,488,269 ","$23,741,843 ","$14,434,062 ","$1,409,983,305 ","$34,723,212 ","$10,641,444 "
Big Ten Conference Median,,2018,,,"$131,467,820 ",$0 ,"$12,438,426 ","$1,388,942 ","$3,045,301 ","$2,069,031 ","$12,448,967 ","$34,303,832 ","$22,008,504 ","$22,154,340 ","$16,121,115 ","$2,337,894,881 ","$33,242,804 ","$9,530,592 "
Big Ten Conference Median,,2019,,,"$134,713,519 ",$0 ,"$13,496,228 ","$1,530,659 ","$3,195,794 ","$2,271,459 ","$13,967,254 ","$32,934,668 ","$22,699,508 ","$24,386,412 ","$16,378,764 ","$2,307,620,319 ","$36,394,252 ","$9,780,423 "
Big Ten Conference Median,,2020,,,"$130,582,125 ",$0 ,"$14,059,556 ","$1,477,669 ","$3,023,500 ","$1,635,314 ","$13,322,065 ","$31,406,858 ","$24,238,063 ","$25,065,112 ","$16,717,371 ","$2,365,278,867 ","$36,049,362 ","$10,669,358 "
Big Ten Conference Median,,2021,,,"$104,951,574 ",$0 ,"$6,412,473 ","$1,992,305 ","$226,726 ","$400,482 ","$6,805,449 ","$30,099,600 ","$23,362,068 ","$24,537,073 ","$17,376,340 ","$2,351,945,000 ","$27,914,023 ","$10,774,290 "
Big Ten Conference Median,,2022,,,"$141,181,951 ",$0 ,"$11,580,422 ","$2,002,772 ","$3,347,681 ","$2,232,533 ","$13,606,806 ","$35,409,254 ","$26,675,475 ","$26,766,349 ","$17,448,383 ","$2,351,945,000 ","$40,749,035 ","$13,381,223 "
Big 12 Conference Median,,2018,,,"$90,378,001 ",$0 ,"$13,024,593 ","$1,139,028 ","$1,854,496 ","$1,936,057 ","$11,900,828 ","$21,447,486 ","$17,592,118 ","$17,751,083 ","$10,291,470 ","$720,409,090 ","$23,156,350 ","$7,501,243 "
Big 12 Conference Median,,2019,,,"$96,782,633 ",$0 ,"$12,170,332 ","$1,024,593 ","$1,898,117 ","$2,101,887 ","$12,491,189 ","$22,348,371 ","$19,269,732 ","$20,144,070 ","$10,264,652 ","$745,296,891 ","$27,684,739 ","$8,996,751 "
Big 12 Conference Median,,2020,,,"$91,393,348 ",$0 ,"$10,766,209 ","$1,134,800 ","$1,757,650 ","$1,536,940 ","$10,195,447 ","$22,959,239 ","$19,529,904 ","$21,020,758 ","$9,865,329 ","$762,000,329 ","$28,344,788 ","$8,626,757 "
Big 12 Conference Median,,2021,,,"$88,369,216 ",$0 ,"$7,102,494 ","$1,869,426 ","$787,354 ","$491,267 ","$6,667,688 ","$20,664,258 ","$18,516,119 ","$19,289,069 ","$10,078,924 ","$803,207,032 ","$21,873,469 ","$8,406,651 "
Big 12 Conference Median,,2022,,,"$106,737,261 ",$0 ,"$11,398,835 ","$1,160,709 ","$1,821,749 ","$1,900,900 ","$13,093,124 ","$24,479,633 ","$21,171,507 ","$21,043,660 ","$10,450,399 ","$803,207,032 ","$28,967,895 ","$10,348,097 "
Pacific-12 Conference Median,,2018,,,"$106,944,047 ",$0 ,"$10,304,307 ","$1,292,333 ","$1,673,955 ","$1,519,534 ","$10,566,752 ","$24,557,838 ","$19,841,229 ","$21,109,420 ","$13,002,964 ","$1,846,590,458 ","$31,154,619 ","$9,088,760 "
Pacific-12 Conference Median,,2019,,,"$103,621,285 ",$0 ,"$10,570,197 ","$1,324,557 ","$1,649,202 ","$1,753,490 ","$11,562,106 ","$22,984,533 ","$20,265,406 ","$21,743,727 ","$12,831,954 ","$2,000,470,180 ","$31,519,766 ","$8,472,835 "
Pacific-12 Conference Median,,2020,,,"$101,457,039 ",$0 ,"$10,089,930 ","$1,301,394 ","$1,676,288 ","$1,335,735 ","$10,955,822 ","$22,144,091 ","$21,387,824 ","$20,508,238 ","$12,562,644 ","$2,192,949,570 ","$31,767,581 ","$8,582,968 "
Pacific-12 Conference Median,,2021,,,"$87,344,843 ",$0 ,"$7,535,563 ","$1,919,236 ","$242,748 ","$372,576 ","$5,451,907 ","$14,431,348 ","$21,841,917 ","$18,671,144 ","$13,118,720 ","$2,313,166,948 ","$24,228,193 ","$8,880,106 "
Pacific-12 Conference Median,,2022,,,"$119,247,020 ",$0 ,"$12,329,186 ","$1,526,459 ","$1,877,051 ","$1,902,122 ","$13,598,131 ","$24,142,814 ","$23,266,581 ","$22,125,530 ","$13,479,111 ","$2,313,166,948 ","$35,502,331 ","$8,859,218 "
Southeastern Conference Median,,2018,,,"$134,965,406 ",$0 ,"$16,246,587 ","$1,336,298 ","$3,323,758 ","$2,394,790 ","$15,319,580 ","$28,787,041 ","$26,133,301 ","$25,788,235 ","$13,746,767 ","$926,838,405 ","$44,380,720 ","$10,784,446 "
Southeastern Conference Median,,2019,,,"$141,829,002 ",$0 ,"$18,110,184 ","$1,072,347 ","$4,029,526 ","$3,169,123 ","$15,588,309 ","$30,341,734 ","$28,118,468 ","$24,675,357 ","$13,981,591 ","$926,223,976 ","$39,499,666 ","$11,396,555 "
Southeastern Conference Median,,2020,,,"$139,935,182 ",$0 ,"$14,354,474 ","$1,251,137 ","$3,807,550 ","$1,963,342 ","$13,397,054 ","$31,298,623 ","$29,178,886 ","$26,538,147 ","$13,092,937 ","$946,671,038 ","$41,403,966 ","$13,909,249 "
Southeastern Conference Median,,2021,,,"$124,113,714 ",$0 ,"$9,555,187 ","$3,731,914 ","$360,000 ","$383,920 ","$10,879,031 ","$28,335,633 ","$26,738,214 ","$27,346,860 ","$12,856,397 ","$940,266,482 ","$36,192,952 ","$11,440,169 "
Southeastern Conference Median,,2022,,,"$157,108,637 ",$0 ,"$14,568,015 ","$1,607,512 ","$4,154,800 ","$2,730,647 ","$18,223,277 ","$33,866,857 ","$29,806,404 ","$32,582,973 ","$14,256,396 ","$940,266,482 ","$47,194,884 ","$14,341,657 "
