Data,IPEDS_ID,year,FBS_Conference,Total_Expenses,Excess_Transfers_Back,Other_Expenses,Medical,Competition_Guarantees_spent,Recruiting,Game_Expenses_and_Travel,Facilities_and_Equipment,Coaches_Compensation,Support_and_Admin_Compensation_w_Severance,Athletic_Student_Aid,Total_Revenues,Other_Revenue,Corporate_Sponsorship_Advertising_Licensing,Donor_Contributions,Competition_Guarantees_earned,NCAA_Conference_Distributions_Media_Rights_and_Post-Season_Football,Ticket_Sales,Institutional_Government_Support,Student_Fees,Total_Institutional_Government_Support_and_Student_Fees,Total_Football_Spending,Total_Football_Coaching_Salaries,fpi,rk,eff_ove,rnk_ove,eff_off,rnk_off,eff_def,rnk_def,eff_spe,rnk_spe
Texas Tech University,229115,2013,Big 12 Conference,77114410,0,6077188,1148498,1706209,1854350,8263067,24121536,12297700,15228451,6417412,84816428,5446164,7821030,30607196,254154,23360262,12662455,1163176,3501991,4665167,25051758,5560567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Tech University,229115,2014,Big 12 Conference,79732912,0,5472568,963429,1634803,2123462,9424165,25005989,13348247,15293999,6466251,87818197,3477130,8472534,31622253,228922,26525573,12814053,1165521,3512211,4677732,27722150,5663440,2.1,64,47.2,70,68.4,27,31.3,109,39.6,107
Texas Tech University,229115,2015,Big 12 Conference,87488407,0,6679312,1103479,2168359,1888148,8902144,28781183,15663512,15507500,6794770,91436648,5338718,12327909,27703258,115468,27758092,13321475,1169998,3701729,4871727,29913611,7555756,8.8,42,62.8,41,84.2,5,26.3,114,64.1,17
Texas Tech University,229115,2016,Big 12 Conference,88738419,0,5631216,1231123,1722398,1751334,10754731,25734953,16168806,17719320,8024537,93703506,3595497,11114870,27262790,369186,32377935,12418916,2857809,3706504,6564313,28623138,6980696,4.7,53,55.6,56,79.2,9,25.2,120,45,84
Texas Tech University,229115,2017,Big 12 Conference,96157462,0,8476721,1408372,2539858,2014913,10057006,29153578,16518288,17905931,8082794,98169834,3594348,12825594,28401861,450475,33253174,13232847,2795162,3616373,6411536,32544159,7631419,5.6,42,62.3,36,66.9,25,55.9,52,40.2,113
Texas Tech University,229115,2018,Big 12 Conference,95984783,0,7753053,1304026,2245952,1978861,12677629,23345591,18828138,19865022,7986511,96320451,4388916,13255085,27868586,233086,35030083,11946046,14610,3584039,3598649,31767914,7908841,9.1,34,57,53,55.2,56,52.6,62,60.9,16
Texas Tech University,229115,2019,Big 12 Conference,100830565,0,9182652,1460180,1925194,2672913,14776311,20433607,20482229,22182247,7715231,102412715,4227393,12607350,25636603,29677,41059406,15123924,47800,3680563,3728363,32190219,7468502,2,56,54.2,53,61.1,32,43,82,56.2,37
Texas Tech University,229115,2020,Big 12 Conference,92477582,0,6588701,1824424,1856208,1722750,10782261,17341922,21599862,23496071,7265382,94666371,3132454,15230657,22739333,552805,38059694,14909491,41937,0,41937,30680445,7788760,0.4,70,41.5,84,38.5,85,49.9,62,42.2,95
Texas Tech University,229115,2021,Big 12 Conference,83873438,0,5675286,2934904,1085414,1349849,8606796,17139107,18409289,20725894,7946899,88859408,7496156,10894378,16140810,15000,34019057,8541799,11752208,0,11752208,27570003,7611189,4,50,54,62,60.5,41,44.9,83,56.4,39
Texas Tech University,229115,2022,Big 12 Conference,104778443,0,8331787,1903332,3037217,2831437,14937163,20102185,21905937,24004086,7725299,110154695,4387851,14387336,28947020,413000,42628851,13560519,5830118,0,5830118,35152808,10350702,8.3,28,62,33,54.9,54,65.4,33,48.6,70
Texas Tech University,229115,2023,Big 12 Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,36,64.8,32,53,50,68,25,59.8,25
University of Utah,230764,2013,Pacific-12 Conference,57600634,0,9383645,1052569,1281582,1377258,7034362,5568424,11765321,10792206,9345266,54500923,3837878,3898796,8674410,24238,12151646,14003618,4867127,7043210,11910337,18227540,5631136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Utah,230764,2014,Pacific-12 Conference,57838857,0,8772062,1137390,1042756,1217350,6628103,4919001,12949672,11908693,9263832,64636342,3164515,3882053,11409262,322589,18912568,15657114,4325420,6962820,11288241,18384767,6454286,13.5,27,73.6,22,49.5,65,77.7,12,76.6,2
University of Utah,230764,2015,Pacific-12 Conference,67147740,0,9624061,1162947,2079854,1302406,7915342,7815532,15261497,12076431,9909668,71386387,3786512,4297690,9121424,1350619,27792487,14977114,3285621,6774921,10060542,21513268,6676502,13.4,27,70.8,25,49.3,63,80.5,4,58,32
University of Utah,230764,2016,Pacific-12 Conference,88121296,0,14352426,1049264,1955190,1801217,10928552,14960147,17415513,13597528,12061460,89696873,3790214,6097222,9652168,504643,37028022,19166316,6588536,6869753,13458289,27917612,7655911,9.7,33,64.1,37,48.7,64,66.9,29,73.3,5
University of Utah,230764,2017,Pacific-12 Conference,90228020,0,14532687,1333057,1521255,2076212,10862045,13813720,19109559,15164083,11815402,92496791,4640523,6128827,9983870,407966,38703514,18900378,7035899,6695816,13731714,29583659,8363145,6.3,38,64.6,33,47.7,68,71.7,21,63.9,9
University of Utah,230764,2018,Pacific-12 Conference,94506535,0,16645631,1178956,1671982,2119531,10728786,14489301,20686486,15230031,11755831,98615497,4474070,10712898,10401183,582107,38880664,20211635,6924898,6428043,13352941,32166278,9807703,13.3,20,75.9,15,60.1,42,79.6,13,58.8,28
University of Utah,230764,2019,Pacific-12 Conference,101750458,0,16693959,1337813,1766886,2099740,11296008,15398425,21844359,18229168,13084100,105487840,5009402,12878696,13142089,492851,39491067,21124874,7011226,6337634,13348860,32921991,10382783,17.6,14,82.7,9,72.8,15,84.2,6,40.9,98
University of Utah,230764,2020,Pacific-12 Conference,99657593,0,14281128,1036322,1431826,1500815,10548622,14715209,24256384,19244922,12642366,101784425,3050687,12156458,12492363,384241,40775284,19367717,7232309,6325367,13557675,34882970,12349307,10,27,59.5,36,39.5,84,75.5,12,50.3,65
University of Utah,230764,2021,Pacific-12 Conference,82056884,0,9086677,2129204,222009,302545,4895932,14617137,19762762,18794320,12246298,51021217,1196453,7578142,8014646,8000,21579858,29620,6681429,5933069,12614498,22975592,9887970,14.5,11,76.7,8,76.9,10,69,15,42.8,106
University of Utah,230764,2022,Pacific-12 Conference,111880434,0,17262115,1269083,1305727,1987511,11523244,19979274,24245391,21494539,12813550,115719266,4680988,8365175,28843990,613000,44412634,15286819,7375102,6141558,13516660,40071987,13843569,19.1,8,79.9,8,74.9,15,74.1,16,53.4,51
University of Utah,230764,2023,Pacific-12 Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,25,61.7,40,44.2,81,74.7,13,51.6,66
Virginia Polytechnic Institute and State University,233921,2013,Atlantic Coast Conference,77446461,0,5363932,982754,1399727,1391357,8721915,21458833,14245156,11975254,11907534,81457752,4710475,2403736,19308247,606829,25839379,19413098,328020,8847969,9175989,28825462,6856324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Polytechnic Institute and State University,233921,2014,Atlantic Coast Conference,79662142,0,5198102,1050490,1437240,1477522,9145776,20448382,14611806,13570470,12722354,83630962,5307905,2103649,18695815,3283918,27780229,17175732,351519,8932196,9283715,27496811,6918721,7.9,41,58.4,47,30.1,103,82,9,55,44
Virginia Polytechnic Institute and State University,233921,2015,Atlantic Coast Conference,88807444,0,5675966,1091198,2212199,1881142,8833858,21531180,18026393,16059952,13495555,91723163,5227245,2515414,19148196,415458,35660558,19464746,5850,9285697,9291547,29899958,8620665,9.5,38,58.7,52,45.1,74,63.8,36,64.3,16
Virginia Polytechnic Institute and State University,233921,2016,Atlantic Coast Conference,95533298,0,5744889,1357209,1659800,1645141,10363727,22617305,20731256,16731117,14682855,94501012,5234395,2403861,21844338,853725,34022812,20382051,2654,9757176,9759830,34852679,10409368,13.7,23,71.1,22,55.4,49,76.1,11,58.5,33
Virginia Polytechnic Institute and State University,233921,2017,Atlantic Coast Conference,100283416,0,9036357,1338742,1555217,1554483,11211883,24201479,21326067,15215092,14844095,96647670,5659224,2843569,17428990,4763982,36988174,19137805,2944,9822982,9825926,34134722,9757486,13.4,18,71.7,20,49.8,62,79.2,11,69.5,5
Virginia Polytechnic Institute and State University,233921,2018,Atlantic Coast Conference,100991321,0,6757235,1312755,1406644,1714426,12307195,25289144,21494837,15297375,15411711,106275831,5781342,2406527,24079195,3415592,39149073,20965264,7145,10471693,10478838,35106098,10062186,3.4,55,49.9,73,57.8,46,40.7,93,53.6,53
Virginia Polytechnic Institute and State University,233921,2019,Atlantic Coast Conference,99588860,0,7355682,1405207,1498177,1710516,11992645,22744727,20252849,17052633,15576424,102568671,8361757,2982129,20029157,270273,38257759,21773638,2733,10891225,10893958,35683066,9165506,4.5,48,58.9,47,52.3,58,58.7,46,59.9,24
Virginia Polytechnic Institute and State University,233921,2020,Atlantic Coast Conference,102072361,0,8465346,1428422,2234323,1965060,10434700,21966063,20732071,18454190,16392184,103854046,6756114,3022946,22987789,12250,39532742,20102389,2542,11437275,11439817,35875205,9285507,7.3,32,57.7,43,67.8,25,49.2,64,38.3,102
Virginia Polytechnic Institute and State University,233921,2021,Atlantic Coast Conference,85587390,0,7361483,1842919,721383,232684,4283451,20942512,18736861,16917195,14548902,90296622,3645548,2897488,16329303,0,38006000,49060,18479268,10889955,29369223,26699874,8414957,1.1,64,48.2,75,45.3,77,47,75,63.8,17
Virginia Polytechnic Institute and State University,233921,2022,Atlantic Coast Conference,117280036,0,11773270,1503339,1646021,1838881,10882695,22340262,22503433,29027698,15764437,112690598,7221667,3153652,25882821,1.00E+05,48990742,13471506,1396032,12474178,13870210,41766016,10805285,-6.2,93,40.9,84,32.2,99,52.1,60,52.6,53
Virginia Polytechnic Institute and State University,233921,2023,Atlantic Coast Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,45,58.5,45,60.2,38,49.3,69,61.6,19
University of Virginia,234076,2013,Atlantic Coast Conference,97941468,0,8633816,2041162,2156388,1377564,11232187,20355927,19083201,17334911,15726307,98175175,4277719,6562863,36359323,303589,20206027,15205538,0,15260112,15260112,24956184,6585087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Virginia,234076,2014,Atlantic Coast Conference,100068578,0,10533651,1362209,2506977,1391712,11397292,18733320,20705457,17049606,16388354,95801328,6632781,5417741,28759093,10874,21662772,18168255,0,15149812,15149812,25707696,6899444,6.9,46,56.2,54,37.6,87,71.4,20,53,53
University of Virginia,234076,2015,Atlantic Coast Conference,104431350,0,6858213,1604681,2164746,1426321,11133039,23859735,23200072,16791554,17392988,104329426,6495055,5857383,31739093,358981,30244852,14136797,0,15497264,15497264,20773423,8350389,2.1,70,49.1,71,52.4,56,50.7,67,37,112
University of Virginia,234076,2016,Atlantic Coast Conference,112676957,0,8077184,1479563,1119073,1735135,11948262,25847471,22706807,20330921,19432542,116595270,4861141,16223765,35627999,582229,27300117,16498179,0,15501839,15501839,23080949,7456322,-4.2,84,37.9,88,33.2,98,46,69,53.9,51
University of Virginia,234076,2017,Atlantic Coast Conference,110904784,0,7146603,1553667,1959981,1755545,11264048,23363138,23728180,20395251,19738371,102658776,5689104,9369376,28883328,712394,28951121,13640603,0,15412850,15412850,24633741,8723303,-3.3,75,46.8,68,35.4,95,59.1,48,53.1,52
University of Virginia,234076,2018,Atlantic Coast Conference,115385096,0,8519361,1701008,1828539,1878135,13789971,22677914,24299291,20229751,20461127,115012434,7020143,10205883,29777203,285962,34856457,14983906,2525784,15357094,17882878,24509176,8076319,6.4,42,63.3,37,54.4,57,67.5,27,48.5,84
University of Virginia,234076,2019,Atlantic Coast Conference,119366679,0,9718577,1542428,2474855,2014076,13600152,19894314,27657852,20924321,21540105,116820683,10911053,10500104,28683888,518299,34477737,12195950,4228813,15304839,19533653,27439353,9230262,6.6,42,61.8,36,60.9,36,52,63,67.3,13
University of Virginia,234076,2020,Atlantic Coast Conference,117031267,0,8879495,1335041,2092232,1511325,11937546,21537800,26638306,21211304,21888217,115465023,8046428,11115978,29579699,5235,32284562,16277430,2749018,15406674,18155691,28714315,9553789,2.6,57,51.8,58,52.2,57,51.4,59,47.7,76
University of Virginia,234076,2021,Atlantic Coast Conference,101172838,0,6836912,3484846,574500,281864,7170745,15600739,26356586,19197219,21669427,105346428,5896315,7942045,24594388,63000,34002020,178936,19426918,13242806,32669724,23870870,9015999,4.8,47,54.4,61,74.5,12,30,112,50,67
University of Virginia,234076,2022,Atlantic Coast Conference,150584173,0,13917121,1398102,1099500,2157359,13665607,48228687,27218894,20263211,22635692,161916231,7003681,10569287,62646969,90200,42022268,15114983,8635778,15833065,24468843,31075143,10281881,-4,83,36.8,97,28.6,106,56.9,52,29.8,127
University of Virginia,234076,2023,Atlantic Coast Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1,87,44.5,79,44.1,82,50.4,66,40.1,107
Washington State University,236939,2013,Pacific-12 Conference,60631837,0,9943980,993432,879429,1084286,5878909,9408081,10691189,10841582,10910948,54891700,1824569,3779935,9624768,671152,23518308,7894072,6339127,1239770,7578896,14724096,5454657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington State University,236939,2014,Pacific-12 Conference,77994997,0,10198291,1252051,1651154,1132744,7121196,19546309,11704970,14397078,10991205,62297346,3853904,4229076,8032502,1332323,26543945,6739750,10432223,1133622,11565845,18609033,6011614,2.8,62,44.5,77,61.1,38,38.8,90,20.6,127
Washington State University,236939,2015,Pacific-12 Conference,77040207,0,9872836,1257897,1508270,1344113,7310379,17366075,12287102,15009677,11083860,61864306,4159877,4546821,7565581,415000,30407351,7782060,5693568,1294048,6987616,19021847,6138449,7.1,48,63.5,40,63,35,63.2,38,35.3,114
Washington State University,236939,2016,Pacific-12 Conference,80937026,0,10904246,1106404,1945031,1267279,8179251,17412845,13223547,14505482,12392941,66332905,3720612,7163736,8714702,393303,34506314,6245814,4663810,924613,5588423,20808680,6589579,14.1,20,65.8,29,67.9,29,55.7,51,53.1,53
Washington State University,236939,2017,Pacific-12 Conference,79374071,0,11329856,895951,1775414,1380387,8608905,15517823,13014534,14990907,11860294,71075048,3638108,4862636,9078909,349104,38864382,8463805,4080510,1737594,5818103,21063162,6611799,7.1,36,62.2,37,45.7,75,78.8,12,38.3,118
Washington State University,236939,2018,Pacific-12 Conference,79610821,0,11212762,903770,1821468,1369915,8217716,14762742,14193435,15496486,11632528,70268686,3525677,4791439,10041938,0,37078893,9071011,4060371,1699358,5759729,21607273,7844446,13.6,18,73.6,19,81.4,5,51.9,64,53.2,56
Washington State University,236939,2019,Pacific-12 Conference,80826492,0,11535740,756232,1827937,1444369,8513174,14535578,15153237,15375772,11684453,75985287,4284639,4851071,12405897,335139,38241516,10077863,4196304,1592858,5789162,23372981,8685338,7.9,31,60.5,40,80.9,6,31.9,106,54,47
Washington State University,236939,2020,Pacific-12 Conference,80902131,0,10518410,569231,2030852,1235171,7876931,14270630,15042386,18405347,10953173,78252494,5758906,4545070,15288638,104698,37764110,9025991,4256484,1508597,5765081,24132775,8575400,0.8,68,51.2,62,61.7,31,35.3,97,68.4,13
Washington State University,236939,2021,Pacific-12 Conference,65002028,0,7523100,1055790,374613,230390,3443602,13945660,13195423,13808507,11424943,40089718,1277910,3412926,7785483,0,22486946,7365,4065091,1053997,5119088,16533539,7315361,2.7,54,59.4,48,50.4,68,67.5,17,38.8,117
Washington State University,236939,2022,Pacific-12 Conference,83691991,0,12088271,1029551,1911192,1423288,9287421,15113681,12600304,18013185,12225098,85028825,4534595,4949281,10274202,0,40607408,9299636,14088596,1275107,15363703,22822345,6240292,3.8,55,62.8,30,48.6,65,68.9,26,57.2,36
Washington State University,236939,2023,Pacific-12 Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,51,61.8,39,54.5,47,61.6,40,59.9,24
University of Washington,236948,2013,Pacific-12 Conference,88645529,0,15491292,995047,2244060,1706296,12153445,7756377,18458909,17359728,12480375,98954707,4245661,9950345,30939042,680601,26116705,23142000,3880353,0,3880353,27685505,8101773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Washington,236948,2014,Pacific-12 Conference,98547432,0,17358463,1093646,1823610,1496534,14128771,10881803,19243729,19238449,13282425,114775735,8707735,12958664,27506256,390668,28541330,32608092,4062989,0,4062989,33307132,8821113,11.3,34,64.3,36,47.6,67,71,21,58.3,27
University of Washington,236948,2015,Pacific-12 Conference,119359158,0,15140843,1500200,2416096,1560798,14406857,30527550,19006659,21459255,13340902,118372376,10392918,14521345,26040779,514463,34151977,28297931,4452964,0,4452964,50524575,8839799,13.3,28,71.4,23,48,67,78.4,9,66.9,8
University of Washington,236948,2016,Pacific-12 Conference,123695209,0,15827380,1303413,2385526,1664163,16030134,30703672,20523284,20550873,14706765,120978350,11139926,16546229,26178272,584826,35630853,28655567,2242677,0,2242677,53126002,9581318,25.2,5,89.3,2,81.6,4,85.4,7,56.6,39
University of Washington,236948,2017,Pacific-12 Conference,136528247,0,20608137,1268360,2788524,1611275,19552513,29402424,23237307,23454652,14605055,142322705,12100265,17931713,39097126,8291,39774747,29273251,4137312,0,4137312,41632494,11189589,21.7,8,82.4,9,78.3,10,75.4,16,55.4,46
University of Washington,236948,2018,Pacific-12 Conference,136110438,0,18631390,1423446,2792024,1878298,18738600,30523518,23743263,23901947,14477953,141275371,11313836,17736210,37003114,538326,38814433,31731369,4138084,0,4138084,41809798,12066578,17.3,10,78.7,10,71.7,18,77.6,15,42.7,105
University of Washington,236948,2019,Pacific-12 Conference,139182897,0,18359113,1577562,1729074,1940640,19981128,29355241,26456145,24455329,15328664,141806180,11510525,17884410,32891110,4429513,39463233,31226744,4400646,0,4400646,42898335,13507951,14.5,16,75.3,18,58.2,42,77,13,68.7,11
University of Washington,236948,2020,Pacific-12 Conference,135035753,0,18050913,1431297,1753142,1387262,16110809,29660900,25377288,25843650,15420492,144037101,11353109,27825327,25633097,270121,38248161,36142455,4564832,0,4564832,53872279,12036143,7.3,33,51.2,63,58.6,38,54.5,52,14.3,125
University of Washington,236948,2021,Pacific-12 Conference,86150595,0,10043217,1886317,320000,406804,5828030,9560091,21710317,20813771,15582048,83431816,5466750,15332077,32730995,5000,23372161,24034,6500799,0,6500799,24267707,8842162,1.1,62,45.3,80,30.9,104,63.3,30,44.4,100
University of Washington,236948,2022,Pacific-12 Conference,149458923,0,18111340,1752722,3141470,2490978,18834207,27404842,22428675,39202708,16091981,145184864,11594117,20179991,28037008,1148500,39943460,29198790,15082998,0,15082998,70461921,8406844,11.5,20,73.9,18,84,6,50,63,45.2,88
University of Washington,236948,2023,Pacific-12 Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,12,81.7,9,85.4,6,64.7,30,56.7,39
West Virginia University,238032,2013,Big 12 Conference,85495261,0,13430767,560218,968909,1533090,11617928,16515607,14787738,15917199,10163805,90386537,9144220,5245504,27818707,3305006,14778137,24905469,152940,5036553,5189493,18768319,6946665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia University,238032,2014,Big 12 Conference,87697827,0,16354705,1071972,1680529,1492082,10840430,13639261,16698650,15611084,10309115,88852242,7201430,13405609,22536886,392795,18694356,21537366,150499,4933301,5083800,19642792,7838844,12.1,32,67,32,60.2,46,70.5,24,43.6,98
West Virginia University,238032,2015,Big 12 Conference,99766368,0,14878500,776511,1208856,1625035,13838743,22678832,17325482,16617527,10816882,103491186,5982069,12537990,29595690,4073122,25076995,21191395,135151,4898774,5033924,19855725,7506760,14.4,22,68.2,30,55.9,46,74.8,12,46.6,81
West Virginia University,238032,2016,Big 12 Conference,96982519,0,10581623,599843,2370010,1636258,14328850,19947611,16305934,19740420,11471972,118704312,6694190,12900929,37805226,386809,34504259,21851937,53400,4507562,4560962,18792354,7289088,13.5,24,66.8,28,64.8,31,67.9,28,32.1,122
West Virginia University,238032,2017,Big 12 Conference,98602862,0,15060865,897119,1841200,1746233,14704513,17702767,16768457,17694094,12187615,122226194,11089609,7881648,38248829,2432998,35611238,22354888,0,4606984,4606984,21562724,7348026,4.7,46,58.9,49,66.6,27,52.4,57,37.7,120
West Virginia University,238032,2018,Big 12 Conference,99069462,0,13047613,1104277,1672557,1669272,14457283,19184167,17875493,17669615,12389185,110807013,7346567,10067894,32268578,3305414,34967144,18419539,0,4431877,4431877,22702693,7828529,15.1,15,78.6,11,80.5,7,62.1,40,60.6,19
West Virginia University,238032,2019,Big 12 Conference,104134560,0,8568102,926762,1359748,2006907,14294101,28130118,20365554,16812746,11670524,108830995,8334334,11132796,20156940,3197711,41494388,20378162,0,4136663,4136663,25486781,9561584,-1.5,68,47.5,66,36,95,56.3,53,58.4,27
West Virginia University,238032,2020,Big 12 Conference,94446156,0,6948669,1227778,1591626,1422756,11459026,25402622,18839848,16884744,10669086,90950176,7364005,10817278,11436584,387186,38244470,18680257,0,4020396,4020396,23265267,7805471,7.4,31,59.9,35,47.7,65,69.5,20,50.6,62
West Virginia University,238032,2021,Big 12 Conference,64814692,0,3185889,1818783,711238,287359,6258217,10541943,16961882,14521840,10527541,72982006,4304566,5596371,15292854,50450,33838581,1904599,8987832,3006753,11994585,17233863,6979619,4.2,49,57.4,53,52.3,61,65.4,24,34.9,121
West Virginia University,238032,2022,Big 12 Conference,97067706,0,7094784,839514,1152756,1882408,12504359,26580890,19940708,16016263,11056024,105193311,7434650,9657719,14672758,109585,45667084,18763866,5500000,3387649,8887649,24342556,8715591,4.1,52,56.6,57,60.7,42,44,85,64.3,17
West Virginia University,238032,2023,Big 12 Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,38,67.7,27,68.2,24,57.6,49,59.1,27
University of Wisconsin-Madison,240444,2013,Big Ten Conference,170590391,0,11051631,3248944,4638586,1087445,17562768,76693223,18477957,25320224,12509614,173477646,17996863,4988964,68520205,467015,40170960,32191458,9142182,0,9142182,37002104,7153577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin-Madison,240444,2014,Big Ten Conference,143186093,0,11281829,3255737,4565512,1175234,15330136,49479073,18235450,27213960,12649163,146407800,11865623,5283751,44017736,643946,43815068,31540848,9240829,0,9240829,35806677,6581801,17.1,19,74.8,19,76.2,13,68.5,31,38.7,108
University of Wisconsin-Madison,240444,2015,Big Ten Conference,135693771,0,13282931,3254607,2789705,1144241,15433814,35182717,20727619,30163097,13715041,141643744,17465079,7109846,26084849,2501382,46887502,32620270,8974816,0,8974816,35085530,7152037,13.9,26,68.4,29,53.4,53,74.7,13,58.2,31
University of Wisconsin-Madison,240444,2016,Big Ten Conference,147260315,0,14361232,2684483,4494355,1273871,17192471,38261373,19792481,32723568,16476481,149919528,21087229,8725307,24273324,4660545,53052199,34954057,3166867,0,3166867,34695899,6819023,17.8,12,79.3,11,63.8,34,85.5,6,45.5,82
University of Wisconsin-Madison,240444,2017,Big Ten Conference,158004113,0,16511662,3083889,3435033,1189788,18528171,41628310,20381776,35199262,18046221,158545873,18784204,15214966,26653640,3395051,59547567,31807621,3142824,0,3142824,36643015,7492963,21.7,7,84.7,7,70.1,21,86.9,4,57.2,31
University of Wisconsin-Madison,240444,2018,Big Ten Conference,161647560,0,16337202,2556985,3543712,1321174,17042900,42205773,23831857,36238837,18569119,163987741,20402790,14228642,16702972,484263,73889879,35077499,3201697,0,3201697,41313897,10284485,11.8,24,60.4,48,58.9,44,59.9,47,44.4,101
University of Wisconsin-Madison,240444,2019,Big Ten Conference,163882892,0,16437295,3144979,4085471,1556822,17446109,42753081,24059093,36752979,17647062,167103148,20405932,14206181,18845829,202723,74953236,35278825,3210422,0,3210422,42832815,9885043,21.3,8,86.2,5,78.7,8,83.3,7,50.8,64
University of Wisconsin-Madison,240444,2020,Big Ten Conference,156205219,0,18190924,3548006,2767586,1224002,14819055,38210399,25391901,33654084,18399262,155161226,16740914,14353829,13749282,471141,69975891,37188151,2682018,0,2682018,38431876,10861610,18.1,9,69.8,18,40.9,78,86.9,1,56.3,37
University of Wisconsin-Madison,240444,2021,Big Ten Conference,127088011,0,6412473,3272096,261500,147228,5913319,44954645,21026300,27079259,18021191,106916838,6537104,22434431,28178799,0,46639131,28783,3098590,0,3098590,27914023,8733710,13.3,13,75.2,12,51.6,65,89.3,2,39.9,114
University of Wisconsin-Madison,240444,2022,Big Ten Conference,147807183,0,7500612,2988588,2848800,1786016,13606806,43858991,25092815,31444978,18679577,150100977,14100855,25012976,7054061,10850,62776957,38117093,3028185,0,3028185,39255866,11527815,8.1,29,61,41,54.4,55,68.1,27,37,119
University of Wisconsin-Madison,240444,2023,Big Ten Conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,40,57.9,52,48.5,70,62.4,35,56,46
Purdue University,243780,2013,Big Ten Conference,86805473,0,10001449,1274041,2470252,1327756,9720697,19109882,13564681,17439325,11897389,84189944,7745576,6696339,19991717,1861081,31605551,16289680,0,0,0,20611001,4808043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue University,243780,2014,Big Ten Conference,85393166,0,8851696,1229154,2386979,1309263,8580845,20165406,14344541,16226284,12298998,81693165,6739068,7386245,17491476,457843,33112058,16506475,0,0,0,17601133,5594158,-4,86,39.9,83,35.2,89,46.5,71,53.9,50
Purdue University,243780,2015,Big Ten Conference,87059034,1977889,10713073,1511354,2490668,1499276,9577005,16989214,14644723,15594696,12061137,86472894,6574490,7763341,20042775,1371902,39479895,11240493,0,0,0,17907754,5659939,-4.3,89,35.6,94,45.3,73,37.9,94,29.7,127
Purdue University,243780,2016,Big Ten Conference,90746142,1804078,12665540,1172895,2408164,1504436,8278551,17524361,15534183,17474585,12379350,88852899,6344849,7749724,21451998,366928,41679817,11259584,0,0,0,19138727,6126285,-8.8,99,26.2,111,36.3,89,27.4,114,39.7,98
Purdue University,243780,2017,Big Ten Conference,96406646,1658191,11011075,1226768,2271519,1707840,8873976,18119410,17803651,21327061,12407155,93788515,7894507,7090045,23965462,138183,44505551,10194767,0,0,0,29494078,7720546,3.9,48,62.3,35,52.2,56,69.6,25,43.3,101
Purdue University,243780,2018,Big Ten Conference,104324342,1618654,10658669,1185446,1582302,1575112,11044744,22013585,19837384,22385238,12423207,111247050,7898515,7203156,20895402,566529,61742908,12940541,0,0,0,29384962,9240500,6.9,40,67,33,72.3,16,52.3,63,60.3,20
Purdue University,243780,2019,Big Ten Conference,109727188,1589842,12232381,1377050,1940071,1993731,11768680,23278135,22783364,20628120,12135813,117483955,8569397,7166181,25094987,0,62764989,13888401,0,0,0,28979797,11202742,0,63,42.9,83,51.7,59,40.5,91,39.6,103
Purdue University,243780,2020,Big Ten Conference,104804115,1140542,11108066,1462718,1209824,1660103,8842953,25241219,21866757,20515860,11756074,107026038,7764949,7408526,18271162,418792,58283319,14879291,0,0,0,24934178,11170600,3.8,50,46.7,73,59.7,35,44.2,81,23.8,123
Purdue University,243780,2021,Big Ten Conference,82282743,0,5877497,1257190,175179,296506,4764904,21979293,18616479,17187631,12128064,74183342,6077685,6214950,17400737,0,45050837,-560867,0,0,0,18822482,9229104,9.4,25,67.2,24,66,26,63.8,28,44.4,101
